0,1,2,3,4,5,6
6月4日全国ムシ歯予防デー,,,,78.0×55.0cm,,po000480
第八回結核予防デー　7.6.27,第八回結核予防デー　7.6.27、結核予防、北海道衛生組合連合会、懸賞募集　一等當選図案、北海石版活版印刷、函館衛生組合連合会、函館市役所・日本衛生会函館支会・函館市醫師会・函館衛生講習同窓会・函館警察署、結核予防十則の紙付き、サインあり,,,76.0×53.0cm,,po000481
第七回結核予防デー　6.6.27,,,,77.0×35.0cm,,po000482
自然に親しめ,サインあり,,,61.0×44.5cm,,po000483
六月四日むし歯予防デー,,,,52.5×38.0cm,,po000484
第二回飾窓競技会参加店,,,,78.5×27.0cm,,po000486
陽明堂后版印刷所,,,,86.0×34.0cm,,po000487
陽明堂后版印刷所,大正十三年のカレンダー付き,,,76.0×34.5cm,,po000488
陽明堂印刷所,昭和六年のカレンダー付き,,,77.5×35.5cm,,po000489
陽明堂印刷所,昭和七年のカレンダー付き,,,78.0×35.0cm,,po000490
陽明堂印刷所,昭和八年のカレンダー付き,,,76.5×34.5cm,,po000491
陽明堂印刷所,昭和九年のカレンダー付き,,,76.0×35.0cm,,po000492
創業二十周年　大日本法令出版株式会社,,,,51.0×35.0cm,,po000493
三秀舎のカレンダーの台紙,サインあり,,,47.0×31.0cm,,po000494
御大典奉祝ノ為メ十一月十日謹而休業仕候,御大典奉祝ノ為メ十一月十一日謹而休業仕候、函館浴塲組合,,,54.5×20.0cm,,po000495
明治三十二年略暦,,,,51.5×34.5cm,,po000496
謹而御大喪儀ヲ拝シ七日休業仕候,謹而御大喪儀ヲ拝シ七日休業仕候、函館浴塲組合、函館浴塲組合取締印あり,,,54.0×20.0cm,,po000497
帝国第二艦隊歓迎之為メ乗組軍人ノ御方之入浴料ヲ金三銭二仕候,帝国第二艦隊歓迎之為メ乗組軍人ノ御方之入浴料ヲ金三銭二仕候、函館浴塲組合、函館浴塲組合取締印あり,,,55.0×19.5cm,,po000498
所得の申告,,,,63.5×47.0cm,,po000502
故大隈候記念大講堂建設資金募集,サインあり,,,77.5×54.5cm,,po000504
国際補助語　エスペラント,国際補助語エスペラント、函館エスペラント協会中立なる言語の基礎の上に相互に了解しつつ人々は一致して作るであらう一つの大きな家族的の団躰を（ラ・エスぺーロの一節）,,,79.5×54.5cm,,po000505
賜御台覧之栄,,,,54.0×79.5cm,,po000506
六月四日ムシ歯予防デー,,,,79.0×36.0cm,,po000507
サムライインキ,,,,62.0×25.5cm,,po000510
アテナインキ,昭和十三年の印あり,,,52.0×38.0cm,,po000511
丸善スタンプインキ,昭和十三年の印あり,,,51.0×38.0cm,,po000512
冷えたポンパンのうまさは素敵！,浴場部認印あり,,,29.0×42.0cm,,po000515
ほうらい足袋,,,,77.0×27.0cm,,po000517
創業明治八年　島津製作所,,,,93.0×32.0cm,,po000518
プラトンインキ,,,,62.0×45.5cm,,po000519
英国製ヒーロー防水靴クリーム,,,,53.5×32.0cm,,po000520
町野金物店,,,,53.0×40.0cm,,po000521
フライト,人畜無害理想殺虫剤効力絶大　フライト、北海道樺太総代理店、函館市若松町太平商会、家庭用殺虫液フライトの特長の紙付き,,,54.5×38.5cm,,po000522
安全スベリ止,,,,53.0×25.5cm,,po000523
田沢除蝿粉,,,,76.5×36.0cm,,po000524
二色蚊とり線香　キング,,,,76.0×27.0cm,,po000525
函館名物　五稜郭漬,函館名物　五稜郭漬,,,74.0×26.0cm,,po000530
ハアマアー鉛筆,,,,61.5×45.0cm,,po000531
時計ビスケ,新製乳菓、時計ビスケ、これぞ万人向きの嗜好品　御家庭の御愛用を願います、函館菓子製造株式会社、小樽塩野其水堂印行,,,79.5×27.5cm,,po000533
CHEF SOUPS,,,,55.5×23.0cm,,po000536
登録商標　花の雲,,,,44.5×22.0cm,,po000537
極東　コーヒー牛乳,,,,53.0×13.5cm,,po000538
ロンドインキ,,,,33.0×10.5cm,,po000539
台湾ぽんかん,,,,61.0×45.5cm,,po000540
ブルドックソース,,,,60.5×45.5cm,,po000541
羊肉ハ肉ノ王　,羊肉ハ肉ノ王、羊肉料理講習会の日程表の紙付き,,,62.0×45.0cm,,po000542
新田貴金属店,注文工料三割引　新築落成御披露ノ為メ　七月壱日拠ヨリ　七月拾五日マデ　貴金属品大売出し　恵比須町亀田屋小路,,,40.0×55.0cm,,po000689
地図,明治三十七年二月二十日印刷　明治三十七年二月二十三日発行　編集人長岡庄之助　函館区西川町六十番地　発行人細井金兵衛　函館区末広町三十五番地　印刷所　小口石版印刷所　印刷人小口寅次郎,,,54.0×78.0cm,,po000693
道政の重点,道民生活の安定向上のために　社会福祉を増進する　北国に適した住宅の建設と生活の改善をすすめ、めぐまれない人々を保護し、病気の対策を強め、働く人の職場をふやし、住み良い社会をきずく。　産業の振興につとめる　寒地農業をおしすすめ、森林資源を培い、漁村経済を立て直し、中小企業をもりたて、また、道路・河川をととのえ、電源と未開発資源をひらき、産業の総合的な発展をはかる。　行政の民主化・能率化をすすめる　世論にもとづいて仕事を進め、事務のとり方を一層能率的にたかめ、道民のための道政であるようにつとめる。,,,72.0×50.0cm,,po000695
学童壁新聞,日本のセメント工業について　セメントの生産より出荷まで　セメントの用途　セメント製品,,,54.0×38.0cm,,po000696
郵便壁新聞,季節の花と咲いた郵便週間　第二回全日本切手展入賞者　新切手続々登場,,,78.0×54.0cm,,po000698
風雪百年輝く未来　１～２,２世紀にはばたけ　記念事業のあらまし,,,51.5×72.5cm,,po000699
国土緑化推進委員会,主催　国土緑化推進委員会　　後援　農林省・文部省・林野庁　　百年の記念にぼくもこの苗木,,,75.5×53.0cm,,po000700
教育委員会選挙　１～２,明るい日本を築く教育のために　あなたの村に町に市に教育委員会を！　子供たちの教育はあなた方一人一人の責任です　その選挙日は１０月５日　文部省,,,73.0×53.0cm,,po000701
矯正保護強調運動,主催・法務庁矯正保護強調運動中央委員会　後援・司法保護協会再犯防止懇話会,,,59.0×52.5cm,,po000705
教育委員会選挙,１１月１０日　みんなそろって、よい委員よい教育,,,53.2×74.5cm,,po000706
婦人週間,四月十日－十六日,,,51.0×72.5cm,,po000707
フォトニュース　１～２,十和田湖・東北,,,57.0×38.0cm,,po000708
地方税法　１～３,昭和２５年度の事業税　特別所得税,,,52.0×76.0cm,,po000709
北海道かべ新聞　１～２,たべものの衛生週間　道営競馬　漁村の民主化ではばむものは何か？,,,52.0×75.0cm,,po000710
壁新聞Ｎｏ５０,たのしいハイキング　北海道広報課発行,,,52.0×74.5cm,,po000711
北海道かべ新聞Ｎｏ２１,４３０万人の協力で水道開発五ヶ年計画の構想,,,53.0×75.0cm,,po000712
かべ新聞Ｎｏ４１,愛犬の登録を４月１日－４月３０日　登録は市町村窓口で　４月１日－６月３０日　予防注射は獣医師に　　動物愛護週間　３月１６日～３月２２日,,,52.0×75.5cm,,po000713
かべ新聞Ｎｏ４０,電力は　　労働金庫は　　ねずみは　　禁煙　　募集　　北海道広報課発行,,,53.0×74.5cm,,po000714
かべ新聞Ｎｏ４６,赤痢激増　患者昨年の４．４倍　保菌者昨年の１５倍,,,53.0×74.5cm,,po000715
北海道かべ新聞Ｎｏ２２,火災予防（大火撲滅）運動　自三月二一日　呈三月二七日　国民健康保険はすすんで加入いたしましょう,,,75.0×52.5cm,,po000716
時事写真ニュース,防衛大学校特集　,,,54.0×76.5cm,,po000719
科学技術週間,４月１８日は原子力デー　科学技術週間４月１５日～２１日　企画構成　日本原子力産業会議　,,,51.5×71.0cm,,po000720
電気ものしり教室Ｎｏ１,待望の高速電車が走る…札幌市　　新しい発電所の登場　　　発行所●電気ものしり教室編集部　　札幌市大通東１丁目北海道電力株式会社営業課サービス課内　郵便番号０６０－９１　　電話２５－１１１１,,,51.0×72.5cm,,po000721
函館市の財政　１～３,昭和３８年度一般会計予算類　　市税の内訳　歳入　歳出　歳出予算のあらまし　　昭和３８年度主要事業　　　函館市財政事業説明書　　函館市長　吉谷一次,,,54.0×74.0cm,,po000722
フォトニュース,新装の特急「あさかぜ」　東海道線で列車後部から写す　,,,53.0×38.0cm,,po000723
赤十字フォートニュース　Ｎｏ８６－１,皇后さまから受賞者の胸に　看護婦として世界最高の栄誉ナイチンゲール記章授与式　　,,,25.5×36.0cm,,po000724
赤十字フォートニュースＮｏ８５,リースン夫人に有功章　愛の図書を贈る　奉仕団が日赤病院へ,,,25.5×36.0cm,,po000725
赤十字フォートニュース　Ｎｏ８５～２,赤十字１００周年記念大パレード　９０の各国旗を掲げて１５００人,,,25.5×36.0cm,,po000726
赤十字フォートニュース　Ｎｏ８５～１,赤十字関係物故者の慰霊碑　天皇・皇后両陛下をおむかえして　赤十字１００周年記念大会をひらく,,,25.5×36.0cm,,po000727
赤十字フォートニュース　Ｎｏ８６－２,赤十字飛行隊の結成　東京～新島血液輸送の初訓練,,,25.5×36.0cm,,po000728
交通ニュース,北海道交通安全協会函館方面支部　北海道警察函館方面本部,,,39.5×54.5cm,,po000729
協賛マーク,”協賛マーク”で学校の設備をよくしましょう　　極東ノート　日水のハム・ソーセージ　味の素ハイ・ミー　ギターペイントマジックインキ　三ツ矢サイダー　ヤマハディスクオルガン　ニッサン石鹸本舗　マ・マーマカロニ株式会社　ミツワ石鹸　ダイヤモンド毛糸　キューピーマヨネーズ　みつびし鉛筆　シンクロテープ　チロリアンチーズ　エイハンの脱脂綿　渡辺製菓,,,54.5×39.5cm,,po000730
正しい人体寄生虫の知識　１～２,北海道市健康保険組合　,,,53.0×37.5cm,,po000731
フォトニュース,写真　八ヶ岳山嶺　野に山に緑いっぱい,,,53.0×35.5cm,,po000732
市立保健所　１～２,結核を防ぎましょう　結核患者は２９２万人　結核予防は健康診断から　感染は人から人へ　排菌者（結核菌を出す人）が、６０万人もいる,,,54.5×74.5cm,,po000734
北海道夢の観光コース,毎日新聞北海道発行所　Ａ支笏洞爺ドリームライン　Ｂ大雪グリーンライン　Ｃ阿寒パノラマコース　Ｄ渡島ロマンコース　Ｅオホーツクコーストライン,,,54.3×77.4cm,,po000735
スポーツ教室の開設,函館市民体育館主催　◎１期〈４月～７月〉　◎２期（９月～１２月）　◎３期〈１月～３月〉　★年間３期開設　　申込み４月・８月・１２月　　★会員登録制、会員証交付　　★指導者配置　　★修了証の授与　　（くらしの中にスポーツを）　○教室からクラブへ○,,,83.5×59.0cm,,po000737
北海道百年記念事業,記念事業　　　記念祝典　９月２日・札幌　　　野幌森林公園の造成　札幌郊外　　　開拓記念館の設置　森林公園内　　　１００年記念塔の建設　森林公園内　　　地方記念施設の設置　１４箇所　　　地方スポーツの大会　全道各地　　　記念植樹の実施　全道各地　北海道大博覧会　６月１４日－８月１８日　　　風雪百年輝く未来,,,72.0×51.0cm,,po000738
函館市の財政　１～２,一般会計の概要　　特別会計の概要　　公営企業の概要,,,85.0×58.5cm,,po000741
大蔵省・通貨安定対策本部,終戦を迎えて四年　だがこれからが！,,,52.0×75.5cm,,po000743
生産第一,まかぬ種は生えぬ,,,52.0×75.0cm,,po000744
北海道かべ新聞Ｎｏ１,供出とリンク物資,,,53.0×77.0cm,,po000745
北海道かべ新聞,憲法施行三周年記念日,,,54.0×77.0cm,,po000746
北海道かべ新聞　Ｎｏ７,清掃美化運動　バードデー小鳥を愛する日,,,54.0×76.5cm,,po000747
北海道かべ新聞Ｎｏ１５,農業協同組合をもりたてよう,,,54.0×73.0cm,,po000748
北海道かべ新聞Ｎｏ１６,納税準備金　税金を楽に納めるために,,,53.0×75.0cm,,po000749
北海道かべ新聞Ｎｏ１８,事業税特別所得税の申告をしましょう　申告書は昭和２５年の中の所得について記載し　１月３１日までに所在支广又は支广税務出張所へ,,,79.0×54.5cm,,po000750
北海道かべ新聞Ｎｏ１９,流行する病気をみんなで防ぎましょう,,,52.5×72.5cm,,po000751
北海道かべ新聞Ｎｏ１３　１～２,教育委員選挙　１１月１０日　牛馬の骨軟症を防ぎましょう,,,53.0×73.2cm,,po000752
北海道百年,風雪百年輝く未来　HOKKAIDO CENTENNIAL 1869-1968,,,103.0×72.5cm,,po000755
ホソイ商店,滋味豊富　いか塩から　,,,27.0×52.0cm,,po000759
御誂ふとん,東京日本橋角　西川,,,39.0×54.0cm,,po000761
蚊帳宣伝福引大売出し,７月十日ヨリ二十一日マデ　何品ニ依ラズ御買上金■円毎福引券一枚進呈,,,79.0×54.0cm,,po000762
かやは麻,,,,89.5×61.0cm,,po000770
西川商店,東京日本橋販売元　日本橋　印本浜かや　ぬいめなしかや　　桃太郎印子供かや　夏ふとん,,,75.5×52.0cm,,po000784
西川,昼は活動　夜は安眠　ふとんと毛布　箪笥鏡台　モスリン　めいせん　婦人コート　子供洋服　日本橋角,,,54.5×79.0cm,,po000785
西川,中元福引大賣出し　　西川のモスリンめいせん上布　称賛の的　西川の婦人子供服,,,55.0×79.0cm,,po000786
西川,中元福引大賣出し　西川のかや　七月一日よりかや特賣　ほろかや　お子様寝台　食卓覆　カーテン,,,54.5×79.0cm,,po000787
水道週間,一滴の水も地球の贈り物　６月１日土→７日金　厚生省・都道府県・市町村・水道事業体・日本水道協会・全国簡易水道保護会,,,83.0×59.0cm,,po000789
WORLD FOOD FESTIVAL,世界・食の祭典　JUNE3(FRI)-OCTOBER30(SUN)1988　 JUNO'S SAPPPORO  JUNO'S HAKODATE,,,84.0×53.0cm,,po000790
函館市環境部,亀田川の汚れの８０％は一般家庭からの排水です　台所から始める自然保護　－生活排水対策－　昔遊んだ川なのに…,,,72.0×51.0cm,,po000792
市立函館博物館五稜郭分館,五稜郭からのメッセージ　１９８９．７．１８（火）～９．２４（日）,,1989年,72.0×52.0cm,,po000796
水道１００年展,まちをうるおし百周年　未来をひらくはこだての水　★８月２４日（日）しゃぼん玉ファンタジー,,,51.0×36.0cm,,po000798
JUNO'S JAPAN '88,北海道がおいしい、ほっかいどうが楽しい、HOkKAIDO がおもしろい。　WORLD FOOD FESTIVAL　世界・食の祭典　,,,83.0×61.0cm,,po000800
JUNO'S JAPAN'88　[カレンダー],１９８８ジュノスカレンダー　北海道がおいしい、ほっかいどうが楽しい、HOKKAIDOがおもしろい　　,,,83.0×61.0cm,,po000801
函館港まつり,開港１３２周年記念　８月１日（木）　７日（水）　　　　　　　　　　　　　　　　　　　　　　　　　　　,,,103.0×72.0cm,,po000805
仙台屋,酒類雑貨　函館区相生町　電話千六百七十七番　,,,77.0×35.0cm,,po000806
芽原商店,函館区西川町　電話八一九番　味噌醤油製造卸小賣,,,77.0×53.0cm,,po000807
森田商店,美術　御はきもの　函館蓬莱町,,,77.0×53.0cm,,po000808
金久三年味噌,宮崎吟製　醤油　滋味豊溢,,,77.0×53.0cm,,po000809
太平商店,大久仁たび卸　函館区相生町八十七番地,,,77.0×26.0cm,,po000810
養和軒,喰麺■　和洋御菓子　製造販賣　函館区汐留町　電話一二三二番,,,77.0×53.0cm,,po000811
細居商店,八千代いか　いか塩から　製造元細居商店函館市　登録商標,,,77.0×53.0cm,,po000812
金久三年味噌,登録商標　宮崎業賣,,,77.0×36.0cm,,po000813
中村酒店,銘酒　函館区鶴岡町　清酒　焼酎　白酒　醸造元,,,36.0×77.0cm,,po000814
白牡丹商補,化粧品袋物類　函館区蓬莱町　千秋庵隣,,,77.0×36.0cm,,po000815
小西商店,函館区地蔵町■三番地　電話九十六番,,,77.0×36.0cm,,po000816
金久三年味噌,陸軍御用登録商標　発賣元宮崎味噌製造場　函館区旭町（電話八〇九）,,,77.0×53.0cm,,po000817
函館森屋,,,,106.0×76.0cm,,po000820
西陣織元呉服店,高級呉服　五万点処分大売出し　十一月十二日・十一月十六日　五日間　会場巴座,,,118.0×54.0cm,,po000846
鈴木商店,国産優良燐寸,,,54.0×38.0cm,,po000861
牡丹煙草,製造元東京銀座千葉商店,,,60.5×44.5cm,,po000868
千草,新製巻煙草　二十本定価金三銭　製造元千葉商店,,,62.0×44.0cm,,po000869
ピンヘット,米国銘葉　定価四銭,,,73.0×51.0cm,,po000877
佐々木商会,近代人好みササキのシガレットスタンド　本社　東京市芝区田町七丁目,,,53.0×38.0cm,,po000883
アルファ自動研安全剃刀,剃刀はアルファに限る　是非御愛用を　全国各百貨店有名小売店にあり,,,54.0×38.5cm,,po000885
鶴々卵石鹸,匂ひがよくて品がよい　東京浅井支店製,,,77.0×26.0cm,,po000886
常乃花石鹸,亀岡亀王堂,,,77.0×26.0cm,,po000887
クラブ美身クリーム,アレ止めに、日ヤケ止めに、お化粧下に　薬用化粧用　若返り化粧水クラブ乳液,,,79.0×53.0cm,,po000896
ライオン歯磨,愛用者娯楽大会,,,107.0×38.5cm,,po000898
レート白粉,平尾賛平,,,109.0×74.5cm,,po000909
浅野物産株式会社,札幌会商ビル内　浅野物産株式会社北海道出張所　ＴＥＬ２５６７－４２１９番　　,,,90.0×61.0cm,,po000910
期成同盟会,不徳義にして横暴あくなき水電会社を膺懲せよ　全市民生活權獲得の為め　電燈、動力料の値下即時断行　市民の權益擁護の為めに　各町は急ぎ町民大会を開催せよ！！　電気料値下市民権益擁護,,,54.5×40.0cm,,po000911
親子電球,エビス電球株式会社　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,,,91.0×31.0cm,,po000914
エビスランプオヤコランプ,エビス電球株式会社,,,77.0×53.0cm,,po000915
ナショナル電球,景品付売出…販売店市内電気ラヂオ店　景品　電球二個御買上毎二左記景品付煙草ひかり十本入　　ナショナル電球株式会社,,,75.5×53.5cm,,po000916
JOIK,,,,95.0×77.0cm,,po000918
柄杓覆,衛星第一水がめに蓋　ヒシャクに覆　（ゴミヨケケンヒシャクカケ）　使用簡便　優美堅牢　市内有名雑貨店金物店　永井商店,,,77.5×53.0cm,,po000930
有田商会,文化暖爐　賜宮内省大奥御用命之栄　内務省衛生試験所発明　北海道樺太発売元有田商会函館市恵比須町銀座通　定価金参円　絹天製袋入剤料付　一個　剤料一カ月分金一円弐拾銭　男女外交員至急募集手常歩合賞興支給　一般家庭事務所御旅館病院必需品　登録商標　専売特許　実用新案　　火災安全　酸素により発熱作用を起こし　衛生　オゾーン発生により酸素吸入ができる　経済一ヶ月費用僅に一円　温度　一度発熱を起さしむれば二百度内外一定不変　効果　冷性、呼吸器病、咽喉、痔、婦人病等効果絶大,,,79.0×54.5cm,,po000931
白雪コンロ,経済は洗う台所より一家に必ず一個の　新案特許第二二八四五一号　東洋コンロ工業所,,,61.5×31.0cm,,po000932
天女印高級飯蒸器,天女印琺瑯製品　販売店,,,74.0×51.5cm,,po000933
ひば材,国産材の王　青森特産　名別青森檜くさまき　耐久・強靱・鮮麗・高尚・廉価　青森県ひば材会協会　青森営林局,,,107.0×38.0cm,,po000934
秋田杉,建築に,,,106.0×37.5cm,,po000935
ＡＥＧ,,,,74.5×52.0cm,,po000937
ＡＥＧ,,,,79.0×53.5cm,,po000939
ジー．エス蓄電池,登録商標　島津製作所　京都東京福岡,,,52.0×37.5cm,,po000940
万能レンジ,世界的大発明　僅かの燃料で御飯　とお菜其他六七種　一度に出来ます　専売特許　第七高等学校物理学教授　荒木吉次郎先生発明,,,62.0×46.5cm,,po000941
標準飯蒸,蒸した御飯が炊き立同様　大坂平和会,,,77.0×35.5cm,,po000942
事変ニュース放送特設,ニュースはラヂオで　ニュースの時間　午前６．２５　午後０．４０　午後４．００　午後７．００午後９．３０,,,77.0×34.5cm,,po000943
紐育スタンダード石油会社,生活改善ノ第一歩ハ御台所用新式完全石油厨爐、御採用ニ始ル　安全にして－清潔を保ち－瓦斯よりも便利－無煙、無臭、無音なり　木炭よりも遥に安く－二舛の御飯が三十五分で炊け如何なる料理も容易に出来る他に沢山の種類と付属品あり最寄りの販売店にて御尋ねを乞ふ　石油は弊社輸入のチャスター（塔印）及アトランチック（上松印）を是非ご利用下さい　品質優良にして火力強く最も徳用にして安全第一,,,80.0×52.0cm,,po000944
浅井式湯たんぽ,品質本位　厚板製　大阪　浅井製作所,,,76.5×52.5cm,,po000945
日本蓄音器商会,唱歌　清水金太郎　鈴木ノブ子　演奏　　薩摩琵琶　永田錦心　演奏　　浪花節　京山小円　口演,,,76.5×54.0cm,,po000947
特許法史五十年記念会,発明振興　記念事業付,,,76.0×53.5cm,,po000949
米井商店,コインタイヤ　四本筋タイヤ　サルタンタイヤ　ウインタイヤ　,,,106.0×77.0cm,,po000950
JUNO'S JAPAN 1988,WORLD FOOD FESTIVAL　世界・食の祭典　１９８８年６月３日（金）～１１月３０日（日）,,,85.0×59.0cm,,po000953
火の用心,函館火災予防組合連合会　昭、五、五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,,,53.5×37.5cm,,po000955
火の用心,昭和十一年十二月一日　函館市火災予防組合連合会,,,78.0×53.0cm,,po000995
茂木佐平治醸造,千葉県堅田町　大賞牌受領　宮内省御用達　KIKKOMAN SHOYU　　GRAND PRIZE　　　巴奈馬太平洋万国博覧会,,,79.0×54.0cm,,po001011
マルモ醤油,醸造元最上合■会社　山形県真室川駅前　電話三番,,,79.0×54.0cm,,po001012
金久三年味噌,函館宮崎,,,78.0×53.5cm,,po001019
カギダイ,宮内省御用達　天下一品　最上醤油　下総銚子港　深井吉兵衛醸造　KAGIDAI-SHOYU PATRONIZED THE IMPERIAL HOUSEHOLD CHOSHI K.HUKAI..JAPAN,,,78.5×53.5cm,,po001020
サッポロビール,直径27.5cm,,,27.5×27.5cm,,po001023
サクラビール,,,,77.0×53.0cm,,po001024
サクラビール,,,,91.5×62.0cm,,po001025
カブトビール,Kabuto Beer,,,77.5×53.0cm,,po001026
サクラビール,,,,106.0×38.0cm,,po001027
大日本麦酒株式会社,,,,92.0×64.0cm,,po001028
サクラビール,,,,91.5×62.5cm,,po001029
サクラビール,サクラスタウト,,,90.5×62.5cm,,po001030
大日本麦酒株式会社,,,,91.5×61.5cm,,po001031
サッポロビール,大日本麦酒株式会社,,,109.0×38.0cm,,po001032
桜ビール,,,,76.0×53.5cm,,po001033
大日本麦酒株式会社,,,,90.0×61.0cm,,po001034
帝国鉱泉株式会社,,,,107.0×39.5cm,,po001035
株式会社明治屋,ダイヤモンド印　レモン　シトロン　オレンヂ　サイダー　天然鉱泉布引タンサン　天然鉱泉布引サイダー,,,106.0×38.0cm,,po001036
清涼飲料金線サイダー,帝国大学医科大学模範薬局御指定品　発売元東京　中沢商店　電話京橋（特長五八四番　三五三二番）　,,,91.5×31.5cm,,po001037
伊勢山田小川三左衛門商店,エスシトロン　エスサイダー　エスオレンヂ　,,,91.0×30.0cm,,po001038
宮崎葡萄液,グレーブジーイス　宮内省　御用達　発売元　東京甲斐産商店　製造元　山梨県祝村　宮崎尤太郎　　,,,79.0×36.0cm,,po001039
株式会社明治屋,ダイヤモンド印　布引サイダー　レモン　シトロン　オレンヂ　サイダー　布引タンサン,,,91.0×30.0cm,,po001040
帝国鉱泉株式会社,,,,107.0×39.5cm,,po001041
サクラビール,哥麿筆,,,91.0×62.0cm,,po001042
[ビール],アサヒビール　ヱビスビール　サッポロビール　,,,91.0×59.5cm,,po001043
サクラビール　[カレンダー],帝国麦酒株式会社,,,74.5×51.0cm,,po001044
金線サイダー,,,,76.0×53.0cm,,po001045
カルピス,爽快美味滋強飲料　コビン一ポン　二十セン　コップニ　タップリ　三バイブン,,,76.0×34.0cm,,po001046
ダイヤモンド印,オレンヂ　シャンペンサイダー　日本ヱーレテッドウォーター合資会社,,,79.0×52.5cm,,po001047
キリンビール,,,,61.0×90.0cm,,po001048
柳藤吉商店製造,横浜市真砂町　電話壱九九四番　清涼飲料　パイナップルサイダー　パレナー,,,78.0×53.5cm,,po001049
キリンビール,株式会社明治屋　東京　横浜　京都　大阪　神戸　門司　京城　名古屋　　　,,,79.0×54.0cm,,po001050
株式会社明治屋,ダイヤモンド印　レモン　シトロン　オレンジ　サイダー　布引タンサン　布引サイダー,,,89.0×30.5cm,,po001051
カブトビール,KABUTOBEER,,,78.0×53.0cm,,po001053
サッポロビール,大日本麦酒株式会社　　,,,92.0×61.5cm,,po001054
ミュンヘンビール,大日本麦酒株式会社,,,92.5×30.0cm,,po001055
大日本麦酒株式会社,,,,89.0×60.0cm,,po001056
サクラビール,サクラスタウト,,,91.5×61.5cm,,po001057
サクラビール,帝国麦酒株式会社,,,92.5×60.5cm,,po001058
ユニオンビール,宮内省御用達　三ツ矢サイダー製造元　日本麦酒鉱泉株式会社　東京本店、大阪支店、名古屋支店,,,91.0×62.0cm,,po001059
サッポロビール,アサヒ・ヱビス・サッポロ・ユニオンビール　醸造元　大日本麦酒株式会社,,,90.0×61.0cm,,po001060
リボンシトロン,姉妹品ナポリン　アサヒ・サッポロ・ヱビス・ユニオン・ビール　醸造元　大日本株式会社,,,92.0×62.0cm,,po001061
リボンシトロン,最高級清涼飲料　リボンタンサン　ナポリン　ヱビスビール・サッポロビール・アサヒビール　大日本麦酒株式会社謹製,,,107.0×38.0cm,,po001062
サッポロビール,,,,91.5×62.5cm,,po001063
サッポロビール,サッポロ・アサヒ・ユニオン・カブト・ヱビスビール醸造元　大日本麦酒株式会社,,,91.0×62.0cm,,po001064
サッポロビール,ユニオンビール　カブトビール　　サッポロ・ユニオン・カブト・ヱビス・アサヒ醸造元　大日本麦酒株式会社,,,92.0×62.0cm,,po001065
サッポロビール,品質第一　信用第一　製産第一,,,92.0×61.5cm,,po001066
サッポロビール,アサヒ・ヱビス・サッポロ・ユニオンビール　醸造元　大日本麦酒株式会社,,,92.0×61.5cm,,po001067
大日本麦酒株式会社,醸造元,,,91.5×61.0cm,,po001068
サッポロビール,リボンシトロン,,,92.0×62.5cm,,po001069
サッポロビール,,,,91.5×62.0cm,,po001070
サッポロビール,,,,90.5×61.0cm,,po001071
サッポロビール,アサヒ・ヱビス・サッポロ・ユニオンビール　大日本麦酒株式会社,,,91.5×61.5cm,,po001072
ビール,,,,92.0×62.5cm,,po001073
サッポロビール,サッポロビール　アサヒビール　ヱビスビール　醸造元　大日本麦酒株式会社,,,91.0×61.0cm,,po001074
リボンシトロン,リボンタンサン　大日本麦酒株式会社謹製　,,,91.0×61.0cm,,po001075
サッポロビール,,,,91.5×61.5cm,,po001076
サッポロビール,ヱビスビール　アサヒビール　,,,91.0×61.0cm,,po001077
サッポロビール,リボンシトロン,,,92.0×62.5cm,,po001078
高級飲料,HIGH CLASS BEVERAGE ORIGINAL　オリヂナル　発売元　千代盛商会　電話九五七番　,,,77.0×53.0cm,,po001079
御大典奉祝には道産酒で乾杯,,,,77.0×52.5cm,,po001080
キリンビール,,,,91.0×61.5cm,,po001081
ビタミンビール,新発売　思出の味　夢の酔心地　女性も飲める甘党も飲める　新人向きの　日常健康飲料大日本麦酒株式会社醸造,,,77.0×53.5cm,,po001082
サッポロ黒ビール,アサヒスタウト　冬問の　滋養豊富な　濃厚ビール,,,54.0×38.0cm,,po001083
ビール展覧会,サッポロビール　自七月一日　至七月五日　於・札幌　百貨店　主催・大日本麦酒株式会社,,,35.0×54.0cm,,po001084
リボンシトロンナポリン,最高級清涼飲料　大日本麦酒株式会社,,,55.0×40.5cm,,po001085
リボンシトロンナポリン,大日本麦酒株式会社,,,80.0×50.5cm,,po001086
清涼飲料シトロン,大日本麦酒株式会社　製造,,,88.5×29.5cm,,po001087
大日本麦酒株式会社,清涼飲料　シトロン　ラズベリー　タンサン,,,91.5×30.5cm,,po001088
大日本麦酒株式会社製造,リボンシトロン　ラズベリー　タンサン,,,91.0×31.0cm,,po001089
リボンシトロン,清涼飲料　リボンタンサン　ナポリン　大日本麦酒株式会社謹製,,,91.5×41.5cm,,po001090
大日本麦酒株式会社製造,清涼飲料　シトロン　リボンラズベリー　リボンタンサン,,,90.5×30.5cm,,po001091
THE DAINIPPON BEER CO.LTC,清涼飲料　リボンラズベリー　リボンシトロン　リボンタンサン,,,90.0×30.5cm,,po001092
大日本麦酒株式会社製造,清涼飲料シトロン,,,89.0×30.0cm,,po001093
