title,number
"帝国鉄道庁タービン汽船　比羅夫丸　田村丸　INPERIAL GOVERNMENT RAILWAYS. TURBINE STEAMERS ""HIRAHU MARU""&""TAMURA MARU""　帝国鉄道庁　　IMPERIAL GOVERNMENT RAOLWAYS",pc002573
北日本汽船株式会社　立山丸進水記念　昭和十二年八月　函館船渠株式会社,pc001000-0001
立山丸　北日本汽船株式会社　,pc000481-0001
出船入船賑やかに　船函館港　青森から海豚群れ跳ぶ津軽海峡を北に四時間半、船は門戸函館に着く。港は渡島の山々や函館山に囲まれて天然の良港、遉北方第一の港市の面目躍如たり。　One of typical viws in all Hokkaido..,pc003105
"内地と北海道を結ぶ函館桟橋　THE PIER OF THE CONNECTION STEAMER, HAKODATE.　",pc002383
（函館市街電車線）　基坂の景,pc000997
"帝国鉄道院函館青森間定期船　田村丸　一五二三噸速力十八節　THE AOMORI TO HAKODATE, OF LINER, TAMURA-MARU.",pc010086
青函連絡船津軽丸　（三千五百噸）　Tsugarumaru (3500ton) the ferry steamer between Aomori and Hakodate,pc020388-0001
青函連絡船　翔鳳丸　（三千五百噸）,pc000670
函館青森間連絡線　,pc000324
鰺ヶ沢函館間の定期船天甲丸,pc000019
函館港[炭鉱汽船の倉庫が見える],pc010809-0001
函館停車場及待合室　Hakodate station and Waiting-room.,pc001187-0001
函館最近の青函連絡桟橋　THE HAKODATE NEW PIER.,pc000587
（函館支庁所蔵）　松前藩祖贈正四位　武田信広公の肖像,pc000518
故郡司大尉紀念碑　北千島占守島　片岡湾,pc002330-0001
（函館）　幕軍碧血記念の標碑[碧血碑],pc000193
（函館名所）　碧血碑　THE VIEW OF HAKODATE,pc000648-0001
函館谷地頭（碧血碑）　THE HEKKETSUHI AT YACHIGASHIRA HAKODATE.,pc020265-0001
[消防啓発]消防電話番号表　,pc010706-0001
[堤清六君之碑],pc002570-0001
北海道の開祖日持聖人御経石　所在地船見町,pc002477-0001
箱館湊　松前エ二十五リ 五十年前の箱館,pc021288
函館区略図　明治四十年三月十三日　,pc000454-0001
[駅前地区から湯川付近までの略地図],pc001540-0001
[函館市の地図],pc002699-0001
函館区略図　大正五年九月改正　,pc010152
海軍館壁画　函館海戦　明治二年　中村研一筆,pc003153-0001
"（函館名所）　碧血碑　View of Hakodate, Hekiketsu-hi",pc002325-0001
函館宮崎別荘　（大中山村）,pc010196
（函館公園の花と華）　ちえ子　勝丸　　View of Hakodate park,pc021040-0001
[芸妓絵葉書],pc000904
函館町見　（照葉）　Beautiful woman in Hakodate.,pc002334-0001
函館町見　まる子,pc010209-0001
函館町見番　春の家　乃し,pc001205-0001
町見番　春の家のし子,pc001529-0001
[芸妓絵葉書],pc020255-0001
（函館西見）　清子,pc000177-0001
函館　とよ子　ふく　つた子　す■■,pc010327-0001
[豊子],pc010207-0001
[西見　かね子],pc010834
[芸妓絵葉書],pc002794
"函館桟橋ヘ艦隊司令官ノ上陸　THE VIEW OF PONTOON-BRIDGE, HAKODATE PORT.",pc002072
"函館柏野競馬場　The Kashiwano Race course, Hakodate.",pc000475-0001
函館郊外柏野に其の設備を誇る競馬場　,pc000708
広壮な設備を誇る函館競馬場　（函館郊外　柏野）　THE HAKODATE RACE-GROUND IN THE HAKODATE SUBURBS.　,pc000881-0001
皇太子殿下御成婚記念　御真影奉置所　函館市高砂尋常小学校　児童保護会同窓会,pc010220
七月十日函館御滞在の摂政宮殿下には大沼公園に行啓一日の御清遊あり（桟橋の中央■■）,pc001606-0001
明治天皇御上陸記念碑　明治九年七月十六日御上陸＝明治十四年九月七日御乗艦　七月十六日地鎮＝昭和十年＝九月七日除幕　－函館市－　,pc021044-0001
北海道函館港,pc001036-0001
函館区略図　大正九年一月改正　,pc002017-0001
（北海道）　函館の雪景　大町より弁天町を望む　Hokkaido Hakodate,pc002130
函館市街ノ景　其五,pc010034-0001
（函館）幕軍碧血記念の標碑,pc002379
函館大森浜海水浴〔其二〕　Omorihama Sea Water Bathing Placein Hakodate.,pc021041
函館市街基阪[基坂]ヨリ港内ヲ望ム　〔其二〕,pc002456-0001
"函館大町ヨリ末広町ヲ望ム　Omachi, in Hakodate.",pc002737-0001
函館大町の雪景 The snow-view of Omachi in Hakodate,pc002763-0001
函館地蔵町ノ景 Jizo-street.(Hakodate),pc000850-0001
函館大町五の市光景　The Fair of Omachi.（Hakodate）,pc000259-0001
"函館埠頭出発セントスル師団検閲勅命使野津元帥ノ一行〔其六〕　The Suite of the Field Marshall Nozu,",pc001153-0001
"函館蓬莱町の景　VIEW OF HORAICHO, HAKODATE.",pc010135-0001
函館凱旋門　Hakodate Triumphal Arch,pc020602
函館船場町荷揚場　株式会社第二十銀行　本店東京　支店東京深川、函館、小樽、根室,pc001002
函館港内ヨリ桟橋ト浜町ヲ望ム　THE HAKODATE HARBOR,pc001450-0001
"函館大森浜海水浴場（其二）　SEA-WATER BATHING PLACE, OMORI, HAKODATE.",pc002965-0001
"函館二十間坂ノ景　Nijikken-saka, （Hakodate）",pc010477-0001
函館船場町荷揚の景　The Discharging place of Funabacho.（Hakodate）,pc002128
"函館弁天町雪景　Hakodate, Bentencho.",pc001323-0001
（函館名勝　停車場大通の景　Street of Fore Station Hakodate See,pc010873
（函館名所）　末広町日銀支店前通リ　,pc020011-0001
（函館）　市街二十間坂付近より西部を望む　,pc002837-0001
（函館）　松風町大門通り,pc010062-0001
函館のカフェー街銀座　,pc000827-0001
みなと函館の展望　PROSPECT OF HAKODATE PORT,pc020300-0001
函館　末広町中央　,pc010463-0001
函館東部に於ける繁昌地大門大通り　,pc010079
夏の港町　田辺三重松,pc020303-0001
函館に誇る全道唯一の旅行具専門店　函館市大門通　○ニ　大阪屋　店舗概観　内部売場の一部,pc010358
"（函館市街）　恵比須町　Ebisucho Street, Hakodate.　",pc010699-0001
昭和九年三月二十一日夜函館大火に多数市民の避難せる護岸工事の堤防　,pc001111
"（函館名所）西部ヨリ見タル函館全市街ノ景　Whole City, Hakodate.",pc002512
函館港内船舶輻輳の景　The gathering of ships at Hakodate.,pc002009
往事の函館　現今の函館,pc021074
函館東浜町ヨリ港内ヲ望ム　,pc000840
明治大帝奉迎門　大帝明治九年七月十六日初メテ本道上陸ノ際函館駐剳英国領事アル・ユースデンノ建テラル緑門ニシテ本道最初ノモノナリ,pc002308-0001
（函館名所）　末広町日銀支店前リ　,pc000573-0001
湯の川温泉に程近き上湯の川の高原に聳ゆるトラピスト大修道院（婦人の修道院）　,pc002373
"函館五稜郭電車停留場の景　Halting-place near Goryokaku, Hakodate.",pc020419
函館市全景　（其三）　View of Hakodata No.3,pc000508-0001
"函館地蔵町ノ雪景　VIEW OF SNOW JIZOMACHI, HAKODATE.",pc001493-0001
（函館）　末広町通ヨリ東浜海岸ヲ望ム　The To■ri Suihiromathi of Hakodate,pc020424-0001
NO.12　（函館名所）　若松町停車場前通リ　SCENERY OF HAKODATE,pc000893
函館桟橋より港内を望む　VIEW OF HAVEN FROM WHARF.,pc000208-0001
函館山背泊海岸　Yamase domari Beach Hakodate.,pc000761-0001
函館市街（会所町）　THE (KAISHO TOWN) OF STREET HAKODATE.,pc000735-0001
函館桟橋ト港内ノ景　A View of Hakodate Harbour.,pc002307-0001
函館港内ノ景　VIEW OF HAKODATE PORT.,pc000921
函館短艇競争会の盛況　The Boat-race in Hakodate Harbour.,pc002027
（函館名所）　若松町停車場前通リ　,pc002406-0001
（函館名所）　基坂ヨリ日銀支店及税関ヲ望ム　Seenihon-Bank From Motosaka,pc002440-0001
函館立待岬の絶景　View of Tachimachi Cape.（Hakodate.）,pc020477
（函館風景）　（其五）　立待岬ノ奇勝　View of Hakodate No・5 Scenery of The Tachimachi Cape,pc002416-0001
（函館市街）　八幡坂下の景　View of Hakodate.,pc000613
函館市街基阪[基坂]ヨリ港内ヲ望ム〔其一〕,pc020343
函館公園内函館ホテル　A VIEW OF HAKODATE PARK.,pc002531-0001
函館公園　内図書館前の桜　THE CHERRY IN FRONT OF THE LIBRARY.HAKODATE PARK.　（■司令部御許可）,pc000043-0001
（函館名所）　公園ノ真景　THE VIEW OF HAKODATE,pc000221
"函館公園内日露戦捷紀念砲　THE CANNON OF COMMEMORARATION OF VICTORY, HAKODATE PARK.",pc002368
函館公園白川橋　,pc002582-0001
（函館名所）　公園白川橋ト戦役紀念碑　HAKODATE PARK.,pc010865
函館公園二号館傍　THE SECOND APUARIUM AT HAKODATE PARK.,pc002484-0001
翠緑滴る函館公園　柳ヶ池　,pc002497-0001
"（函館名勝）　函館公園柳ヶ池の景趣　The aspect of Pond Yanagigaike, Park Hakodate.　",pc001621
（函館公園の勝景）　老木の蔭　View of Hakodate-park.,pc000941
（函館名所）　公園藤棚通リヨリ広場ヲ望ム　,pc000813-0001
函館公園紀念戦利砲（十五珊加農）其一　（略歴此砲ハ明治三十七八年戦役中南山ノ戦利品ニシテ和尚島砲台ニ備付アリシモノ）,pc002310-0001
函館公園の雪　The Hakodate Park.,pc020317-0001
函館公園擂鉢山下　THE BACE OF SURIBACHI-HALL IN HAKODATE PARK.　,pc010838
函館公園新休憩所（菊水売店）,pc000963-0001
（函館公園内）今上陛下御即位紀念碑　MONUMENT IN HAKODATE PARK.,pc020470-0001
"函館公園（其二）　VIEW OF HAKODATE PARK, HOKKAIDO.",pc002317-0001
函館公園　（其九）　噴水　VIEW OF SPOUTING WATER AT HAKODATE PARK.,pc020408-0001
函館公園運動場　THE PLAY GROUND OF HAKODATE PARK.,pc001304
函館公園　HAKODATE PARK.,pc001610
函館公園ノ噴水　FOUNTAIN OF HAKODATE-PARK.,pc000720-0001
桜花漫開の函館公園　（其三）　The Fullbloom of the cherry-flower prospect,pc000886-0001
函館花ノ公園　其二　Cherry blossom at Hakodate Park.,pc001249-0001
函館公園（白川橋）　SHIRAKAWA BRIDGE IN HAKODATE PARK.,pc020357-0001
"（函館名所）　公園噴水ノ桜　HAKODATE PARK,",pc002082-0001
（函館名所）　公園六号及ヒ二号ヲ望ム　HAKODATE PARK,pc020473
函館公園白河橋　HAKODATE PARK.　,pc001602
雪の函館公園　（一）　THE HAKODATE PARK.,pc002004-0001
函館公園新休憩所（札幌ビール売店）　THE HAKODATE PARK.,pc010378-0001
"（函館名物）　五稜郭氷切の景　Cutting Ice at Goryokaku, Noted produte of Hakodate.",pc010123-0001
（北海道）　函館五稜郭　Goryokaku Hakodate,pc020422-0001
北海道五稜郭は安政四年起工元治元年竣成す箱館奉行の治所たり明治元年箱館府庁を此に置く維新の役徳川の脱徒之に拠りて官軍に抗せしは普く人の知る所なり五年庁舎を毀ち空庁を存す図は郭の現状にして上部にあるは旧府庁なり,pc000509
函館五稜郭,pc002736
函館五稜郭氷上スケートノ盛リノ景　,pc002041-0001
"五稜郭内の桜　THE CHERRY BLOSSOMS OF GORYOKAKU, HAKODATE.　",pc020372-0001
函館氷の産出　五稜郭外濠の氷切り　,pc010700-0001
古戦場函館五稜郭公園　,pc010136-0001
"函館五稜郭古戦場　GORYOKWAKU, HAKODATE.",pc002147-0001
函館の古戦場五稜郭　,pc020099
"（函館郊外）五稜郭公園　The Goryokaku Park, Hakodate.",pc020479-0001
五稜郭の入口　（函館郊外）　GORYOKAKU-GATE.　,pc000476-0001
函館郊外根崎温泉全景,pc000188-0001
"（函館湯の川温泉名勝）　市街通リ　Yunokawa hot-spring, Hakodate.",pc020114-0001
湯の川温泉　福井家支店,pc002738
"（函館区外湯の川温泉）　湯の川ホテル　千人風呂　yunokawa hot-spring, Hakodate.",pc000578-0001
[函館湯の川温泉旅館林長館],pc002449-0001
湯ノ川根崎温泉場野外風呂　,pc003036
函館郊外根崎温泉　ホテル御園和室の一室,pc000465-0001
（函館）根崎海岸湧出温泉場　FAMOUS PLACE AT HOKKAIDO.,pc010855
湯ノ川根崎温泉場　THE NESAKI HOT-SPRING YUNOKAWA,pc000262-0001
FAMOUS PLACE AT HAKODATE　（函館名所）　湯の川千人風呂野外浴場ノ実況,pc010189-0001
函館湯の川名花スズラン　MEIKA SUZURAN,pc010332
"函館湯の川温泉場市街　Street of Yunokawa Hot Spring, Hakodate.",pc000463-0001
（函館名所）　湯の川根崎新橋ヨリ松倉川畔温泉場ヲ望ム,pc002792-0001
（函館名所）　湯の川根遊覧地岩船新庭園　,pc000920
函館市みなと祭[港まつり]　吉田初三郎画伯筆　函館市　七月一日ヨリ三日間,pc000047-0001
（大沼百景）（其二十二）沼より見たる紅葉館　KOYOKWAN FROM THE LAKE,pc002311-0001
北海道大沼公園の東郷島　View of Onuma in Hokkaido.,pc000437-0001
（早大野球部選手）　捕手　永野氏　久慈氏　市岡氏,pc002821-0001
"（函館）　恵比須町より十字街を望む　ST.EBISUCHO, HAKODATE.",pc020040
"函館恵比寿町大町通りの景　Ebisu-cho, Hakodate.",pc020437
函館市街全景　（其二）　THE VIEW OF HAKODATE,pc001122
函館税関の景　Hakodate Zeikan.,pc020407-0001
函館湯の川温泉名物リリー花採集の況　VIEW OF RINOHANA YUNOKAWA　,pc002462
（函館名所）　港内碇泊ノ実景　THE VIEW OF HAKODATE,pc001439-0001
官祭　函館招魂社鳥居　,pc002675
（函館名所）　湯の川遊覧地香雪園の景　（4）　Famous Place at Hakodate,pc002733-0001
函館山から眺めた市街地夜景／函館市,pc003108
明治四十四年十一月十日　函館区略図　,pc001172-0001
函館公園白河橋　HAKODATE PARK.　,pc000116-0001
五稜郭之図　縮尺一千分の一　梯尺,pc021262
函館五稜郭旧役所　五稜郭ハ安政元年武田斐三郎ノ縄張ニテ築シ所ニシテ明治元年榎本釜次郎大鳥圭介等逃レ来リ取リテ本拠トナス開拓使ノ時（明治五年）庁舎ヲ毀チ其材ヲ札幌ニ運ビ建築ニ用ヒタリト云フ本写真ハ明治元年冬仏国軍艦ノ来リテ撮影セルモノナリ,pc000905
函館五稜郭　龍紋氷室採氷之景,pc002289
函館湯の川ラヂウム温泉　林長館　,pc002355-0001
湯の川寺野停留所前温泉旅館洗心館正面,pc000305-0001
（函館郊外）　夏の根崎海岸　NESAKI-COAST OF SUMMER HAKODATE,pc010893
函館市略図　,pc002443-0001
日本新三景ノ一　大沼公園　VIEW OF ONUMA PARK,pc021278
北海道公園大沼の高空を飛翔せる飛行機,pc000257-0001
（北海道公園）　大沼より駒ヶ岳を望む　VIEW OF ONUMA HOKKAIDO,pc003172
不動貯金銀行　函館支店,pc002541-0001
函館区相生町五嶋軒[五島軒]食堂　,pc001024-0001
函館八幡宮　THE HACHIMAN SHRINE　,pc020384-0001
函館毎日新聞社新築記念　本社前面　本社沿革ノ概要,pc001306-0001
函館支庁舎新築落成記念　函館支庁　河島北海道庁長官　新築着手時　龍岡前支庁長　新築落成時　河毛現支庁長　,pc002125
"函館恵比須町有楽館通　EBISUCHO,HAKODATE.",pc000854-0001
大楠公六百年祭記念　函館日日新聞社,pc000007
桜咲ク頃　展望台ヲ望ム[大沼],pc001045
大沼公園　蝦夷富士　神居古潭,pc001626
翠緑滴る大沼河畔　THE GREEN LAKE-SIDE OF OHNUMA.,pc002984-0001
帯広町大通リ,pc010825
（倶知安風景）　後志支庁,pc010704-0001
日本郵船株式会社　北海道及樺太航路,pc010466-0001
今金町大通り,pc000910
江差港瓶子岩,pc000268
文化の泉　（北海道庁立図書館）,pc000363-0001
江差港松之岱ヨリ鴎島ヲ望ム雪景,pc021275-0001
（八雲名所）　八雲競馬場の景,pc001309
（八雲風景）　神社境内,pc021064-0001
（北海道）　福山熊野神社,pc020030-0001
札幌第二中学校銭函臨海実験（余興角力）,pc002636
北海道帝国大学創基五十年記念　北海道帝国大学中央講堂　佐藤総長,pc001046
札幌農科大学付属博物館　Museum of T.A.S.Sapporo.,pc002519-0001
札幌農学校,pc000862-0001
NIPPON YUSEN KAISHA.（JAPAN MAIL STEAMSHIP CO）　日本郵船株式会社　北海道及樺太航路,pc002283
THE FIVE STOCK EXHIBITION. OF HOKKAIDO.,pc010883
北海タイムス社　新設超高速度輪転印刷機,pc002087
寿都沖合進行中の救命艇,pc010141-0001
北海道　登別温泉場　湯の滝　HOKKAIDO,pc002073-0001
北海道登別温泉市街全景　NOBORIBETSU HOT SPRING,pc010177-0001
層雲峡　Sounkyo Valley.,pc010387
"北海道博覧会記念　THE JAPAN STEEL WOKKS, LTD.　株式会社日本製綱所",pc001025
北海道物産共進会　THE HALL OF THE EXHIBITION OF PRODUCTS OF HOKKAIDO,pc010385
札幌郵便局と電話局　Hokkaido Sapporo Yubinkyoku to Denwakyoku.,pc003053-0001
札幌地方裁判所移庁式紀念　新庁舎ヨリ遠景　新庁舎法廷,pc003044
（旭川区景）　其十二　旭川地方裁判所,pc001101
閲覧室（階上）　書庫　網走図書館全景,pc001001
（国の礎）　旭川歩兵第二十八連隊　正門,pc002200-0001
旭川北海屋ホテル,pc000445-0001
"北星女学校　""HOKUSEI"" SCHOOL FOR GIRLS.　札幌高等女学校　SAPPOLO HIGHER SCHOOL FOR GIRLS.",pc000054-0001
