冬休みスペシャルローマ帝国の遺宝チュニジア・バルドー国立博物館特別出品古代カルタゴ美術展、1月11日(木)～23日(火)、さっぽろ東急百貨店9階催物場（水曜休館）、主催＝チュニジア文化省・チュニジア国立美術考古学研究所・古代カルタゴ美術展実行委員会・北海道新聞社、後援＝チュニジア外務省・在日チュニジア大使館・外務省・文化庁・北海道教育委員会・札幌市教育委員会、協力＝エールフランス、入場料＝一般500円・高・大生300円・小・中生200円、※前売各100円引老人のマスク・踊る小人・カメオ・ヘラクレス像の写真付き、東急のマークあり,,1979年,,73.0×51.0cm,po000072,,,,,,
常設展示北海道の美術・日本近代の美術・海外の美術パスキンの絵画・版画・ガラス工芸、北海道立近代美術館、HokkaidoMuseumofModernArt、開館時間午前10時～午後5時（入館は午後4時30分まで）、休館日月曜日・国民の祝日（ただし5/5・9/23・11/3は臨時開館いたします）、年末年始（12月28日⇒1月4日）、観覧料（常設展）一般150円（120円）・高・大生120円（80円）・小・中生80円（50円）、（）内は10名以上の団体料金、※教員に引率された小・中学校・特殊学校生徒とその引率者、身体障害者、65歳以上の方、生活保護を受けている方は無料となります。54年度の特別展救世熱海美術館名品展ー4月1日～4月22日、19世紀オランダ絵画展ー5月20日～6月10日、フランス美術・栄光300年展ー6月23日～7月29日、ガラスの美ーアール・デコー6月23日～8月26日、木田金次郎ー8月30日～9月23日、第11回東京国際版画ビエンナーレ展ー10月6日～10月28日、蠣崎波響展ー11月3日～12月23日、子どもと親の美術館’80ー1月5日～2月10日、第3回北海道現代美術展ー1月19日～2月10日、昭和54年度現代美術選抜展ー2月17日～3月2日、※都合により会期が変更される場合もあります、教育普及活動作品解説（日曜日・2時）、展示室講話（土曜日・2時）、質問コーナー（水・土・日1時～3時）、その他、講演会、映画会、美術講座、技法講座など〈詳細は近代美術館にお問い合わせください〉、札幌市中央区北1条西17丁目、TEL（011)644-6881、Nishi-17Kita-1,Chuo-ku,SAPPORO、交通案内地下鉄（東西線）西18丁目下車徒歩5分、国鉄バス・中央バス西17丁目下車徒歩1分、北海道立近代美術館の地図付き,,1979年,,73.0×51.0cm,po000073,,,,
北海道立三岸好太郎美術館、THEMIGISHIKOTAROMUSEUMOFARTHOKKAIDO、昭和54年度のテーマ展示三岸好太郎の詩と絵画展4月18日（水）～7月22日（日）、三岸好太郎・画壇へデビューのころ10月24日（水）～12月26日（水）、通年開館月曜日・祝日・年末年始休館、入館無料午前10時～午後5時、札幌市中央区北1条西5丁目、TEL011-221-0811,,1969年,,73.0×51.0cm,po000074,,,,,,
モダンな装い/アール・デコ、ARTDEKOガラスの美、6月23日（土）ー8月26日（日）、AM.10:00～PM.5:00(月曜日休館）、北海道立近代美術館、常設展示室2階、札幌市中央区北1条西17丁目、TEL644-6881、観覧料常設展観覧料で観覧できます、一般150円（120円）、大高生120円（80円）、小中生100円（50円）、（）内は10名以上の団体割引料金、アージー・ルッソー獅子文花器高さ22.5㎝撮影岡本和行,,1979年,,73.0×51.0cm,po000075,,,,,,
（開館2周年記念）フランス美術《栄光の300年》、BEAUX-ARTSDEPARISパリからの贈りもの、主催北海道立近代美術館・パリ市・札幌テレビ放送・日本テレビ放送網、後援外務省・文化庁・フランス大使館・読売新聞社、会期（1979)6月23日（土）ー7月29日（日）、月曜日休館・午前10時～午後5時（ただし入館は午後4時30分まで）、北海道立近代美術館、札幌市中央区北1条西17丁目、TEL(011)644-6881、観覧料一般600円（500円）、高・大生400円（300円）、小・中学生300円（200円）、（）内は前売および団体料金、アメデオ・モディリアーニ（肩を持つ女）1919年の絵の写真付き,,1979年,,73.0×51.0cm,po000076,,,,,,
札幌オリンピックを成功させよう、会期・昭和47年2月3日～2月13日、真駒内スピード・スケート競技場（開会式場）・真駒内屋内スケート競技場（閉会式場）の絵付き、会場説明①恵庭岳滑降競技場②真駒内バイアスロン競技場③真駒内距離競技場④オリンピック村⑤真駒内スピード・スケート競技場⑥真駒内屋内スケート競技場⑦月寒屋内スケート競技場⑧藤野リュージュ競技場⑨宮の森70メートルジャンプ競技場⑩大倉山90メートルジャンプ競技場⑪手稲山回転競技場⑫手稲山大回転競技場（女子）⑬手稲山ボブスレー競技場⑭手稲山大回転競技場（男子）⑮手稲山リュージュ競技場⑯美香保屋内スケート競技場、北海道、印刷須田製版,,1972年,,52.0×72.0cm,po000077,,,,,,
第9回国民体育大会、夏季7月23日～27日ヨット、24日～28日山岳、秋季8月22日～26日、主催日本体育協会・文部省、後援北海道・札幌市・小樽市・岩見沢市・函館市・旭川市・美唄市・苫小牧市、第9回国民体育大会北海道協賛会、フルヤのミルクキャラメル,,1954年,,85.0×60.0cm,po000078,,,,,,
開港103年記念函館港まつり、1961年7月1日/5日、函館市、函館港まつり協賛会、青函船舶鉄道管理局、サインあり、行事日程表の紙付き,,1961年,,74.0×52.0cm,po000082,,,,,,
TOURISTPHOTOCONTEST、特選1名（3000円）・副賞（函館市長賞）、入選2名（各2000円）・副賞（北海道新聞社賞）、佳作10名（各500円）・副賞（函館新聞社賞）、規定未発表のものに限る、四つ切（主題・データー・住所氏名を明記）、応募枚数制限なし（密着印画添付）、送り先函館市役所商工課、開港九十年港まつり記念昭和23年度函館観光写真コンクール、締切10月30日、発表11月10日、主催函館市役所、後援北海道新聞社・函館新聞社・交通公社函館事務所・函館管理部,,,,38.0×54.0cm,po000083,,,,,,
‘63はこだて港まつり、開港105年記念、7月1日→7日、共催函館市・函館港まつり協賛会・青函船舶鉄道管理局、函館・第一印刷印行、サインあり、行事日程の紙付き,,1963年,,76.0×53.0cm,po000084,,,,,,
函館港まつり、七月一日から五日まで、開港九十年記念、式典一日午前十時市役所前、素晴らしい数々の催物、港まつり協賛記念品付花かざり壱箇十箇、市長贈呈記念品・男子背広三ッ揃二著・婦人洋服二著・ミシン二台・自転車二台・簞笥二掉、男子学童服二著・女子学童服二著・吉田初三郎画伯筆観光繪はがき六千組・其他記念品多数、函館市、行事日程付き,,1948年,,54.0×40.0cm,po000085,,,,,,
1969年のカレンダー付き、サロベツ原野と利尻岳の絵、画・中村善策のサインあり、印刷大日本印刷株式会社、昭和45年1月17日受付印あり,,1969年,,59.0×75.0cm,po000086,,,,,,
水道と普及と料金、「清浄して豊富、低廉な水の供給」ーこれが水道事業の目的です。この水道は全国的に建設・拡張が行われた結果、総人口に対し79％まで普及し欧米先進諸国のレベルにもう一歩です。しかし、水道の需要はふえるばかりで水源の開発、公共用水域の水質汚濁、苦しい水道財政水道の広域代などの諸問題をかかえているのが現状です、都道府県別水道普及率の順位（45年3月現在）・世界各国の水道普及率・普及率の低い村と町・高くなる水道のコスト・主要都市の水道料金のグラフ付き、水道事業経営の仕組みの写真付き、共同編集厚生省水道課・日本水道協会・全国簡易水道協議会・日本水道新聞社、昭和46年5月26日受付印,,,,54.0×76.0cm,po000087,,,,,,
第9回国体ラグビー、8月22・24・26日札幌市、主催・日本体育協会・文部省、後援・北海道・札幌市、札幌田上印刷印行、投資信託は山一證券、札幌市南1西4・小樽市大国屋内、サインあり,,1954年,,75.0×53.0cm,po000089,,,,,,
冬こそ大気の中へスキーと冬山の写真展、会場・銀座伊東屋七階、会期・12月20日より26日迄、スキー相談所開設講師・千家哲麿氏・中村貞治氏・伊東虎夫氏・阿部一美氏・茂木愼雄氏、会期中毎日午后三時ヨリ七時迄、主催東京鉄道局・日本旅行協会・山と渓谷社,,,,76.5×62.0cm,po000090,,,,,,
第9回国体卓球、旭川市8月22日⇒26日、主催⇒日本体育協会・文部省、後援⇒北海道・旭川市、札幌田上印刷印行、サインあり、投資信託は山一證券、札幌市南1西4・小樽市大国屋内,,1954年,,75.5×52.0cm,po000091,,,,,,
1952ヘルシンキオリンピックへ選手を送りましょう、財団法人日本体育協会、オリンピック後援会、森永ミルクキャラメル、山口鉄道印刷紙工納,,1952年,,52.5×37.0cm,po000092,,,,,,
第11回札幌オリンピック冬季大会会場予定図、会期昭和47年2月、北海道、印刷株式会社須田製版,,1972年,,75.5×53.0cm,po000093,,,,,,
国体宝くじ、抽せん日→7月11日、1等50万円2等30万円1等残念賞5万円2等残念賞3万円3等10万円4等5万円5等1万円1マイ30円、北海道受託北海道拓殖銀行、札幌山藤印刷株式会社、サインあり,,1954年,,52.5×37.0cm,po000094,,,,,,
暮らしの中に光を…貯蓄、貯蓄増強中央委員会、後援/大蔵省・日本銀行、協賛/都道府県,,,,73.0×52.0cm,po000095,,,,,,
XIOlympicWinterGames、FEBRUARY3-13,1972、THEORGANIZINGCOMMITTEEFORTHExithOLYMPICWINTERGAMES,SAPPORO1972、Designedby:YusakuKamekura、Photoby:KiyoshiFujikawa、Printedby:ToppanPrintingCo.,Ltd.,Japan、昭和46年8月12日受付印,,1972年,,73.0×51.5cm,po000096,,
第26回学生広告論文電通賞募集、第1部大学生個人（大学院学生を除く）「住民意識の台頭と広告の役割」、第2部大学生グループ5名～20名（大学院学生を除く）「自由課題」ただしマーケティングと広告に関する研究、文部大臣賞賞状および記念副賞を各部の1位に贈る、電通賞・1部＝1位から3位まで賞状・副賞・奨学金20万円15万円10万円、佳作（若干）＝賞状・奨学金各5万円・2部＝1位から3位まで賞状・副賞・研究費30万円20万円10万円、佳作（若干）＝賞状・研究費各5万円、締切＝昭和49年1月25日（必着）・発表＝昭和49年3月上旬、贈賞式＝昭和49年3月下旬、送り先＝〒104東京都中央区築地1-11、株式会社電通総務局学生広告論文電通賞係、電話東京（544）5131、詳しくは募集要綱をご覧ください、主催株式会社電通、後援文部省,,,,73.0×51.5cm,po000097,,,,,,
第26回学生広告論文電通賞募集、第3部高校生個人「新しい時代に対応する広告」、第4部高校生グループ（5名～20名）「生活設計における広告の役割」、文部大臣賞賞状および記念副賞を各部の1位に贈る、電通賞・3部＝1位から3位まで賞状・副賞・奨学金10万円7万円5万円、佳作（若干）＝賞状・奨学金各3万円・4部＝1位から3位まで賞状・賞牌・副賞・奨学金30万円20万円10万円、佳作（若干）＝賞状・副賞・奨学金各5万円、締切＝昭和49年1月25日（必着）、発表＝昭和49年3月上旬、贈賞式＝昭和49年3月下旬、送り先＝〒104東京都中央区築地1-11株式会社電通総務局学生広告論文電通賞係電話東京（544）5131詳しくは募集要綱をご覧ください、主催株式会社電通、後援文部省、昭和48年7月5日受付印,,,,73.0×51.5cm,po000098,,,,,,
第17回函館山市民ハイキング大会、第10回体力つくりあるけあるけ大会、10月10日（体育の日）、雨天の際は次の日曜日（11日）、登山受付9時⇒11時30分、受付場所旧山道分岐点、登山者には抽せんにより記念品を差し上げます。10才以上の方には記念品と記念撮影をして差し上げます。主催函館市教育委員会、昭和45年10月6日受付印,,,,39.5×54.5cm,po000099,,,,,,
ハイカラ絵日記、OUTDOOR・MUSEUM、北海道開拓の村、財団法人北海道開拓の村、〒004札幌市厚別区厚別町小野幌50-1、PHONE・FAX:011-898-2692～4,,,,73.0×26.0cm,po000101,,,,,,
港まつり、自七月一日、至七月七日、函館市、はんこあり,,,,77.0×54.0cm,po000102,,,,,,
開港98年はこだて港まつり、19567月1日→5日、函館市・函館港まつり協賛会・函館商工会議所・青函船舶鉄道管理局、第一印刷印行、サインあり、函館港まつり行事表付き,,,,75.5×52.5cm,po000103,,,,,,
開港106年はこだて港まつり、7月1日/5日、共催・函館市・函館港まつり協賛会・青函船舶鉄道管理局、サインあり、函館港まつり行事予定表付き,,,,75.5×52.0cm,po000104,,,,,,
港まつり福引大売出し、6月28日→7月6日、100円お買上毎に福引券1枚進呈、賞品1等50000円1本、副賞トーア毛糸（1ポンド）1本、トーア賞トーア毛糸（半ポンド）10本、2等1000円6本、3等500円9本、4等国産キャラメル15000本、5等空ぐじ15枚でニュー東宝招待券引換、主催函館市・函館商工会議所、ハコー印刷会社印行、サインあり,,,,53.5×75.5cm,po000105,,,,,,
謹告、当店舗は来る12日(日)を以って閉店致す事になりました。長い間のご愛顧誠にありがとうございました。尚、五稜郭新店舗は10月21日(火)に開店致しますのでご期待下さいませ。昭和44年10月13日受付印,,,,76.0×53.5cm,po000106,,,,,,
港まつり、FESTIVALINHAKODATEPORT、JULY1～51948、函館市、サインあり,,,,64.5×43.5cm,po000107,,,,,,
港まつり、昭和二十三年七月一日→五日、開港嘉永六年（西歴一八五三年）アメリカ提督ペリーを我国に送りて開港通商を求む。幕府相議して翌年ペリー再び神奈川に来航せし時、和親条約を結び下田と函館の二港を開港する事となれり。函館市、サインあり,,,,74.5×52.5cm,po000108,,,,,,
開港97年はこだて港まつり、7月1日→5日、主催函館市・函館港祭協賛会・函館商工会議所・青函鉄道管理局、函館・辻印刷所印行、サインあり,,,,76.0×53.0cm,po000109,,,,,,
開港九十四周年・北洋漁業再開記念港まつり、7月1日～6日、主催函館市・函館港まつり協賛会、広告税昭和27年6月19日印,,,,75.0×52.0cm,po000110,,,,,,
松竹大歌舞伎特別公演、板東三津五郎、市村竹之丞、大谷友右衛門、沢村由次郎、板東慶三、沢村田之助、中村雀右衛門、義経千本桜川連法眼館一幕、お目見得口上、岡本綺堂作修禅寺物語三場、新歌舞伎十八番の内鏡獅子長唄囃子連中、7月2日、昼12寺半・夜5寺半開演、観劇料（指定席）、特別席2000円、一等席1500円、二等A席1000円、二等B席800円、二等C席500円、前売所北海道新聞函館支社、支局及び函館市内プレーガイド、お問い合せ北海道新聞函館支社事業部TEL23-2111、会場函館市民会館、主催函館市文化団体協議会・函館市民劇場運営委員会・函館市教育委員会・北海道新聞社、昭和45年4月23日受付印,,,,77.0×52.0cm,po000111,,,,,,
ペリー来航100年記念港まつり、7月8日→14日、函館市・函館商工会議所・青函鉄道管理局、函館・辻印刷所印行、サインあり,,,,75.5×52.5cm,po000113,,,,,,
開港九十五周年港まつり、7月1日→5日、明年開催北洋漁業再開記念大博覧会29年7～8月、函館市・国有鉄道（青函）、函館・ハコー印刷印行、サインあり、開港95周年記念函館港まつり行事表付き,,,,75.5×53.5cm,po000114,,,,,,
開港107年記念はこだて港まつり、7月1日→5日、主催函館市・函館港まつり協賛会、函館・第一印刷印行、サインあり,,,,75.0×53.0cm,po000115,,,,,,
,,,,36.5×51.5cm,po000116,,,,,,
,,,,58.5×41.0cm,po000117,,,,,,
市民のための大学開放講座文部省委嘱、講座名古典と人生、講座内容歴史と人生北海道教育大学教授小栗了之、老荘の真実相助教授加賀栄治、言葉の教育と古典助教授山岸悦郎、チョーサー・シェイクスピアの系譜助教授小名提郎、万葉の幻想助教授鎌田広夫、言語学の古典助教授田村光規、古典の言葉講師葛西清蔵、漱石と鴎外助教授安東璋二、内村鑑三と現代助教授秦慎二、古典と人間教育教授舟越芳男、期間八月一日（土）から八月三十日（日）まで毎週土・日曜日午後六時から一講座三時間、受講人数約五〇名（男・女資格は問いません）、受講料七五〇円、会場北海道教育大学函館分校、申込先函館市八幡町一番二号北海道教育大学函館分校教務係（電話五二-一一二一）、共催北海道教育大学函館分校・北海道教育庁渡島教育局・函館市教育委員会、昭和45年7月12日,,,,36.0×51.0cm,po000118,,,,,,
